ao,semestre,areal,y_lote,ecotopo_lote,cent_x,cent_y,elevation
2003,1,.2,1.70239,"201A",820644,1192457,"1728"
2002,1,.6,1.84157,"201A",819822,1190029,"1995"
2002,1,.7,.594896,"201A",818882,1192339,"1719"
2002,1,.2,1.16946,"201A",821837,1190893,"2035"
2003,1,1.6,6.42267,"201A",819736,1196154,"1747"
2003,1,.9,14.3673,"201A",821430,1192962,"1896"
2002,2,.8,5.66752,"201A",820090,1196041,"1618"
2002,1,.3,1.13717,"203B",840505,1181739,"2000"
2007,1,.66,6.78852,"203B",824643,1176547,"1985"
2007,2,1.8,23.2994,"203B",824702,1176389,"1985"
2006,2,5.05,64.5206,"203B",824417,1176870,"1901"
2007,1,.3,.551824,"203B",823921,1176936,"2016"
2007,2,.87,2.14729,"203B",823925,1176937,"2016"
2005,1,5.3,30.301,"203B",825394,1176668,"1849"
2006,2,3.3,77.0614,"203B",825169,1176758,"1889"
2004,2,.8,5.22951,"203B",826223,1176643,"1751"
2004,2,1.4,61.4564,"203B",827024,1176731,"1900"
2006,1,6.15,68.3599,"203B",827988,1176863,"2084"
2005,1,23.7,286.282,"203B",827389,1177279,"1900"
2006,1,4.45,80.6403,"203B",827145,1177541,"1900"
2006,1,.4,3.31897,"203B",827703,1176009,"1776"
2005,2,4.7,54.5038,"203B",827492,1175843,"1776"
2005,2,.3,9.11635,"203B",825869,1176201,"1849"
2008,1,.4,1.40578,"203B",824701,1175981,"1985"
2001,1,.8,.358899,"203B",828570,1181050,"1795"
2001,2,.5,1.25556,"203B",830840,1177253,"1673"
2001,1,.2,.327495,"203B",841543,1180844,"2127"
2001,2,1.1,4.87874,"203B",841911,1180947,"2450"
2002,2,.7,7.79124,"201A",820703,1192657,"1728"
2002,2,.6,7.4245,"201A",820291,1192736,"1637"
2007,1,.6,1.67808,"203B",825244,1175129,"1878"
2006,2,.94,13.278,"203B",825590,1175364,"1878"
2008,2,.53,4.75404,"204A",845586,1148213,"1733"
2006,2,.5,4.50807,"204A",845499,1148557,"1733"
2009,1,.8,.531667,"204A",845230,1148071,"1447"
2007,1,.46,1.82648,"204A",845165,1149028,"1616"
2008,1,.46,3.45539,"204A",845936,1149216,"1556"
2007,2,.9,10.158,"204A",845811,1148609,"1733"
2010,2,.4,2.49774,"204A",846248,1146993,"1666"
2009,2,.2,.746373,"204A",847369,1146796,"1966"
2009,2,.67,4.13095,"204A",847018,1146416,"1666"
2009,1,.66,1.49534,"204A",847250,1146466,"1966"
2010,1,.42,.660835,"204A",847111,1146930,"1966"
2009,1,.3,2.74904,"204A",846322,1145832,"1661"
2008,2,.5,3.79665,"204A",847394,1146440,"1966"
2010,2,.3,.247252,"204A",847585,1145962,"1971"
2009,2,.16,.344697,"204A",847491,1145329,"1971"
2010,2,.51,8.68219,"204A",847542,1144646,"1937"
2009,1,.47,.058659,"204A",846814,1145678,"1661"
2008,2,1.1,8.59272,"204A",846083,1145592,"1278"
2010,2,1,13.6075,"204A",845815,1145590,"1278"
2008,2,.54,1.57764,"204A",847054,1145199,"1587"
2009,2,.2,1.30622,"204A",846243,1144963,"1587"
2010,1,.2,1.0471,"204A",846547,1145163,"1587"
2009,1,.73,3.67194,"204A",847039,1144646,"1587"
2008,1,.3,.326299,"204A",839029,1130054,"1507"
2007,1,.3,2.11999,"204A",839355,1129840,"1507"
2007,2,.4,4.27811,"204A",839399,1129949,"1507"
2009,2,.8,2.21319,"204A",839120,1135026,"1156"
2003,1,.1,1.65238,"204A",840542,1132822,"1631"
2004,1,.85,.774595,"204A",840485,1132288,"1403"
2003,2,.5,4.48121,"204A",839019,1131837,"1475"
2009,2,.45,.193879,"204A",839544,1133358,"1333"
2010,1,.8,15.8712,"204A",840037,1133170,"1631"
2010,1,1.95,.870034,"204A",838875,1134124,"1333"
2010,2,.3,.371622,"204A",839985,1134271,"1463"
2004,1,.3,5.06017,"204A",839994,1131014,"1512"
2003,2,.3,.904313,"204A",839644,1131014,"1339"
2005,1,.3,2.85813,"204A",839674,1130949,"1512"
2004,2,1.16,21.6884,"204A",840302,1130573,"1512"
2006,1,1.8,5.93559,"204A",840251,1131351,"1512"
2005,1,1.3,8.0943,"204A",841977,1131937,"1832"
2004,2,.4,7.52178,"204A",841831,1131542,"1832"
2006,1,.12,.253041,"204A",842156,1131542,"1832"
2005,2,1.5,16.1684,"204A",841319,1131619,"1545"
2005,1,.3,2.59883,"204A",840901,1129454,"1844"
2005,1,.5,5.12185,"204A",842231,1129988,"1925"
2005,2,.8,6.20163,"204A",841285,1129658,"1676"
2006,2,.4,1.17255,"204A",842111,1129491,"1918"
2008,1,.48,6.32379,"204A",841582,1128777,"1918"
2004,2,1,5.65032,"204A",840804,1128524,"1673"
2006,1,.3,1.08251,"204A",841082,1128877,"1844"
2004,2,.9,4.61317,"204A",842289,1130412,"1925"
2007,1,.72,4.03778,"204A",842091,1129153,"1918"
2006,1,.8,5.80664,"204A",841070,1129760,"1676"
2010,1,.51,7.48282,"204A",843316,1139432,"1627"
2009,2,.5,1.99992,"204A",843234,1139653,"1627"
2010,1,.48,2.33892,"204A",840530,1133127,"1631"
2005,2,.3,2.6597,"204A",842080,1131136,"1859"
2005,1,.7,5.58759,"204A",841471,1131327,"1516"
2006,1,.21,1.08641,"204A",841276,1133053,"1742"
2003,2,.1,.552443,"204A",840870,1132507,"1742"
2004,2,.2,2.78983,"204A",841989,1132176,"1832"
2006,1,.3,2.02244,"204A",841188,1131146,"1516"
2009,2,1.43,38.0051,"204A",841149,1137199,"1199"
2010,1,.89,6.2212,"204A",841212,1135698,"1240"
2009,2,.8,10.8078,"204A",841490,1135028,"1468"
2008,2,.8,10.636,"204A",842359,1136469,"1476"
2009,1,.57,1.84968,"204A",841989,1135410,"1462"
2008,2,2.02,17.9411,"204A",842124,1135314,"1462"
2008,2,.71,4.86088,"204A",842125,1134676,"1469"
2008,1,.37,5.65495,"204A",842219,1134709,"1469"
2007,1,1.27,47.6285,"204A",842676,1134464,"1760"
2007,1,1.03,11.8536,"204A",843192,1136500,"1751"
2007,2,.48,3.07942,"204A",842409,1136128,"1476"
2010,2,.7,7.40977,"204A",841884,1136071,"1462"
2007,1,.6,8.10037,"204A",842890,1135515,"1791"
2007,2,.3,1.75595,"204A",842946,1135297,"1791"
2008,1,.56,4.25226,"204A",842789,1136048,"1791"
2007,2,.4,6.51281,"204A",842385,1134174,"1523"
2009,2,.4,1.96793,"204A",843145,1134709,"1760"
2010,2,.61,10.7386,"204A",843518,1134124,"1995"
2009,1,.7,4.12746,"204A",843133,1134396,"1760"
2009,2,.8,7.02909,"204A",840655,1134622,"1468"
2010,1,.86,8.28033,"204A",840699,1134271,"1468"
2009,2,.38,.810721,"204A",840784,1133791,"1729"
2006,1,.35,2.9558,"204A",841228,1133550,"1729"
2005,2,.3,5.26807,"204A",841684,1133395,"1523"
2006,1,.94,5.30849,"204A",842612,1133507,"1740"
2010,1,.5,2.93149,"204A",844206,1134128,"1995"
2005,2,1,6.9593,"204A",843077,1133834,"1740"
2005,1,.4,1.96711,"204A",843394,1133590,"1995"
2003,1,.5,8.20052,"204A",842452,1132698,"1813"
2004,2,.4,.117158,"204A",842625,1132304,"2030"
2008,2,1.14,17.1124,"204A",841635,1137091,"1372"
2007,2,.4,2.78127,"204A",842078,1136813,"1476"
2010,2,.57,3.26872,"204A",843792,1137187,"2014"
2009,1,1.61,1.95298,"204A",843158,1137278,"1656"
2009,2,.5,14.9104,"204A",842759,1137541,"1656"
2009,2,.46,.701753,"204A",844713,1137682,"2083"
2009,1,.5,.309925,"204A",845150,1138255,"1956"
2003,1,.14,1.41539,"",847121,1132421,"2250"
2004,1,.13,.727839,"",847140,1132495,"2250"
2003,2,.1,.070152,"",847048,1132331,"2455"
2009,1,1.8,2.139,"204A",843390,1140534,"1281"
2008,2,.5,7.92623,"204A",844259,1140078,"1281"
2009,2,1,11.3987,"204A",844405,1139928,"1541"
2009,1,.9,10.2532,"204A",843970,1139685,"1724"
2009,2,.3,.356966,"204A",843849,1139042,"1724"
2009,1,.4,1.27187,"204A",845588,1139695,"1940"
2010,2,.92,15.0723,"204A",844975,1139134,"1683"
2006,2,.37,1.14693,"204A",840007,1129423,"1668"
