cod_lote,cent_x,cent_y
56420206704,787174,1159143
418070406201,788847.3901,699179
51010201702,792226,1143713
50340102501,795074,1118285
50340405401,798758,1119093
195170512901,800725.0135,777702
50340209601,802148,1118510
50340204102,802298,1117615
50340211601,802542,1118285
660010098104,809184.8393,1014945
660010007104,811145.5121,1029685
660010006701,811524.2738,1030123
664400052202,813009.6513,1031733
660010036607,813950.8535,1029563
664400043002,814598.6298,1035038
664400127601,814703.4338,1045095
664400109102,815285.3599,1045167
660010148605,815329.6744,1013649
664400124205,815475.7055,1047010
660010147101,815858.5584,1013268
664400038108,816792.6504,1037633
664400040001,816952.1013,1035829
660010178001,817704.7882,1014930
660010184503,818744.2702,1013632
664400135701,819633.1042,1034104
666820119303,819935.4718,1037576
660010168611,820045.1059,1016355
664400010410,820147.9647,1033897
666820013501,820570.5056,1038617
664400005903,820840.5107,1032417
661700109502,821543.1098,1031234
660010216801,824626.9013,1018544
660010215903,824819.1084,1018160
666820010301,825909.0424,1040245
666820010205,826643.5471,1040825
666820040002,826921.9038,1038235
666820055602,827041.233,1032406
666820003802,827829.9601,1041413
666820044102,827848.1976,1035440
50010106801,828570,1181050
666820067503,828759.4495,1034076
666820072704,830251.5507,1036632
666820069001,830893.7671,1035143
666820052102,831111.4675,1033317
50010113601,841543,1180844
176530117601,849074.6388,1094176
736240125202,853831,957645
736240126901,854108,962172
736240145902,855711,954354
736240117703,874115,965008
258780201401,953972,975030
258780204102,955225,976027
253860111201,964245,1009527
158970108001,1101879,1078573
526830138001,622737.004,639584
526830121501,622923.9518,640091
195320136603,660538.0595,740214
56420201701,785257,1156754
50340105101,794629,1118445
50340202902,802326,1118935
50340212801,802625,1118171
660010244506,810638.9727,1015318
660010011001,811900.1102,1028060
664400048602,813040.055,1032506
664400068201,814029.4498,1036564
660010049701,814379.588,1026855
664400043709,814414.3041,1034983
664400068301,814638.6442,1036370
664400126201,814966.9898,1045876
664400043006,815142.2148,1035187
660010059503,815146.2024,1026281
176160121001,815420.2514,1051854
660010161101,815746.6708,1014098
664400123601,816012.5781,1047138
660010177301,816576.4501,1015382
664400039905,816599.239,1036463
664400036201,816756.6995,1038083
660010177302,816775.3207,1015542
664400038102,816893.8146,1036985
666820011503,818717.1437,1037908
664400011801,819369.7917,1031790
664400012703,819534.7648,1034283
664400010415,819923.6003,1033752
660010168609,819968.5261,1016494
660010168604,819979.4133,1016067
666820129213,820060.3589,1036311
666820129208,820461.6928,1036085
661700005303,820487.2438,1030996
666820129201,820597.4072,1035305
664400005901,820749.785,1032567
664400002501,820762.7156,1033223
176140223601,821075.1508,1093930
666820119103,821188.3722,1036780
52820101001,822432,1143440
660010192304,823099.5714,1018246
660010215901,824726.4738,1018188
666820001402,825846.5244,1039986
666820008008,827259.4824,1040245
666820004401,828212.1338,1040716
666820063801,829672.6014,1033883
666820069003,830634.0657,1035191
50010109802,830840,1177253
666820051903,831222.5032,1034177
178730106001,836700.6486,1041441
50010114001,841911,1180947
736240127902,853571,958361
736240153701,855360,953399
736240155301,858039,955056
736240103302,868880,961958
736240118101,878684,968284
253860113601,959242,1012247
253860134301,961359,1010902
252900100601,962195,969267
685720204401,1040092,1135987
158970105401,1100031,1071405
526780204702,606343.6674,638074
526780019501,606939.9747,639868
526780313801,608102.2733,638350
522070089402,619495.2592,625858
526830134903,619806.5214,638462
522070012101,620555.0946,628404
526830100404,620713.4787,636765
