"","cod_lote","prod_elevs"
"1",56420206704,1781
"2",418070406201,1456
"3",51010201702,1643
"4",50340102501,1809
"5",50340405401,1454
"6",195170512901,1540
"7",50340209601,1412
"8",50340204102,1476
"9",50340211601,1412
"10",660010098104,1183
"11",660010007104,1390
"12",660010006701,1390
"13",664400052202,1506
"14",660010036607,1295
"15",664400043002,1488
"16",664400127601,1479
"17",664400109102,1479
"18",660010148605,1306
"19",664400124205,1072
"20",660010147101,1331
"21",664400038108,1488
"22",664400040001,1756
"23",660010178001,1434
"24",660010184503,1501
"25",664400135701,1567
"26",666820119303,1604
"27",660010168611,1557
"28",664400010410,1481
"29",666820013501,1627
"30",664400005903,1662
"31",661700109502,1678
"32",660010216801,1772
"33",660010215903,1772
"34",666820010301,1459
"35",666820010205,1465
"36",666820040002,1547
"37",666820055602,1753
"38",666820003802,1363
"39",666820044102,1591
"40",50010106801,1795
"41",666820067503,1617
"42",666820072704,1568
"43",666820069001,1600
"44",666820052102,1670
"45",50010113601,2127
"46",176530117601,1690
"47",736240125202,1713
"48",736240126901,2148
"49",736240145902,1531
"50",736240117703,986
"51",258780201401,1561
"52",258780204102,1524
"53",253860111201,1883
"54",158970108001,1521
"55",526830138001,1249
"56",526830121501,1249
"57",195320136603,1493
"58",56420201701,1942
"59",50340105101,1809
"60",50340202902,1375
"61",50340212801,1412
"62",660010244506,1200
"63",660010011001,1211
"64",664400048602,1456
"65",664400068201,1296
"66",660010049701,1257
"67",664400043709,1303
"68",664400068301,1499
"69",664400126201,1340
"70",664400043006,1488
"71",660010059503,1320
"72",176160121001,967
"73",660010161101,1365
"74",664400123601,1072
"75",660010177301,1394
"76",664400039905,1756
"77",664400036201,1488
"78",660010177302,1376
"79",664400038102,1627
"80",666820011503,1340
"81",664400011801,1829
"82",664400012703,1567
"83",664400010415,1834
"84",660010168609,1526
"85",660010168604,1579
"86",666820129213,1597
"87",666820129208,1597
"88",661700005303,1844
"89",666820129201,1421
"90",664400005901,1662
"91",664400002501,1658
"92",176140223601,1678
"93",666820119103,1622
"94",52820101001,1681
"95",660010192304,1567
"96",660010215901,1772
"97",666820001402,1459
"98",666820008008,1566
"99",666820004401,1477
"100",666820063801,1588
"101",666820069003,1600
"102",50010109802,1673
"103",666820051903,1628
"104",178730106001,1788
"105",50010114001,2450
"106",736240127902,1761
"107",736240153701,1450
"108",736240155301,1342
"109",736240103302,1107
"110",736240118101,819
"111",253860113601,1318
"112",253860134301,1314
"113",252900100601,1343
"114",685720204401,1876
"115",158970105401,1345
"116",526780204702,1869
"117",526780019501,1739
"118",526780313801,1807
"119",522070089402,1294
"120",526830134903,1274
"121",522070012101,1748
"122",526830100404,1471
"123",526830004401,1688
"124",526830012001,1593
"125",522070247301,1566
"126",522070173301,1648
"127",522070252701,1648
"128",522070051201,1814
"129",522070055801,2291
"130",522070167908,1978
"131",522070167203,2098
"132",527860178207,1635
"133",527860034805,1756
"134",527860137902,1508
"135",190750137201,1514
"136",526870374605,1795
"137",521100142102,1954
"138",521100024901,1846
"139",521100044101,1846
"140",521100147803,1683
"141",521100070503,1818
"142",523990074201,1577
"143",521100084902,1559
"144",195320104404,1867
"145",521100063401,1999
"146",195320078001,1526
"147",523990117602,1699
"148",523990087801,1609
"149",195320096301,1597
"150",523990050101,1588
"151",523990088202,1609
"152",195320020301,1345
"153",195320157402,1572
"154",520190111305,1686
"155",520190036601,1594
"156",195320175301,1504
"157",195320042602,1505
"158",520190018701,1848
"159",520190115305,1594
"160",194500138701,1528
"161",194500149801,1665
"162",194500141102,1796
"163",191000668201,1270
"164",192560786004,2127
"165",190220258201,2163
"166",192561076601,1502
"167",192560011001,1763
"168",192561072301,1418
"169",192560777301,1834
"170",192560059601,1948
"171",190220065101,2056
"172",193920001101,1254
"173",192560979302,1748
"174",192560411601,1497
"175",193920028801,1484
"176",196220076601,1617
"177",193920015202,1493
"178",197800049201,1750
"179",193970454802,1635
"180",193970096801,1796
"181",193970429701,1585
"182",193970140702,1989
"183",194730026201,1659
"184",197800144001,1470
"185",192560496301,1388
"186",193920145103,1680
"187",197800139701,1562
"188",193920003601,1764
"189",197800136501,1361
"190",198070060201,1751
"191",193920193501,1703
"192",196220029201,1739
"193",192560505802,1791
"194",198070066301,1763
"195",193920132601,1738
"196",191300034001,1271
"197",196220096502,1872
"198",762330027401,1386
"199",194730143401,1451
"200",194730333101,1484
"201",191300422301,1689
"202",194730325301,1647
"203",194730199502,1639
"204",194730190401,1639
"205",760010029304,1795
"206",760010037702,1636
"207",194730182602,1663
"208",191300782501,1740
"209",191300772302,1750
"210",760010033401,1588
"211",191300316601,1764
"212",194730272601,1638
"213",191300472206,1762
"214",195480140701,1731
"215",190010086701,1749
"216",191300478101,1750
"217",195480308501,1717
"218",191300732501,1801
"219",195480309201,1746
"220",198240001201,1762
"221",195480217201,1816
"222",191300359703,1851
"223",195480529303,1803
"224",195480342801,1799
"225",191370043702,1520
"226",196980209401,1428
"227",196980322601,1316
"228",196980178301,1286
"229",191370366101,1587
"230",196980130501,1551
"231",196980129701,1516
"232",768690052901,1454
"233",191370174501,1758
"234",196980379901,1655
"235",196980180101,1432
"236",196980219701,1714
"237",191370281701,1905
"238",196980159901,1851
"239",766160120505,1677
"240",766160117601,1671
"241",766160117502,1671
"242",768900026301,1528
"243",768280052504,1729
"244",768900021901,1500
"245",766160010403,1579
"246",766160040801,1745
"247",766160008401,1424
"248",768280047303,1706
"249",191420219101,1736
"250",768900015501,1600
"251",191420209401,1859
"252",191420231601,2047
"253",768280083102,1689
"254",768280081601,1325
