log_y_lote,region
-.5193686,"2A"
.1565422,"2A"
1.859834,"2A"
2.664955,"2A"
1.734752,"2A"
.1285427,"2B"
1.915233,"2B"
3.148428,"2B"
4.166985,"2B"
-.5945262,"2B"
.7642066,"2B"
3.411181,"2B"
4.344603,"2B"
1.654317,"2B"
4.118328,"2B"
4.224786,"2B"
5.656977,"2B"
4.389998,"2B"
1.199654,"2B"
3.998271,"2B"
2.210069,"2B"
.3405923,"2B"
-1.024714,"2B"
-1.116282,"2B"
2.053,"2A"
2.004785,"2A"
.5176502,"2B"
2.586108,"2B"
1.558995,"2A"
1.505869,"2A"
-.6317379,"2A"
.6023906,"2A"
1.239935,"2A"
2.318262,"2A"
.9153863,"2A"
-.2925298,"2A"
1.418507,"2A"
.4023536,"2A"
-.4142511,"2A"
1.011252,"2A"
1.334119,"2A"
-1.397347,"2A"
-1.065089,"2A"
2.161274,"2A"
-2.836014,"2A"
2.150915,"2A"
2.610621,"2A"
.4559301,"2A"
.2671375,"2A"
.0460244,"2A"
1.30072,"2A"
-1.119941,"2A"
.7514114,"2A"
1.453511,"2A"
.794435,"2A"
-.2554149,"2A"
1.499893,"2A"
-1.640521,"2A"
2.764506,"2A"
-.139223,"2A"
-.9898781,"2A"
1.6214,"2A"
-.1005797,"2A"
1.050168,"2A"
3.076777,"2A"
1.780966,"2A"
2.09116,"2A"
2.017803,"2A"
-1.374204,"2A"
2.783059,"2A"
.9550613,"2A"
1.633516,"2A"
1.824812,"2A"
.1591808,"2A"
1.844319,"2A"
1.731712,"2A"
.0792824,"2A"
1.528915,"2A"
1.395695,"2A"
1.759002,"2A"
2.01261,"2A"
.6931072,"2A"
.8496893,"2A"
.9782133,"2A"
1.720548,"2A"
.0828787,"2A"
-.5934049,"2A"
1.025981,"2A"
.7043047,"2A"
3.63772,"2A"
1.827963,"2A"
2.380268,"2A"
2.364244,"2A"
.6150126,"2A"
2.887094,"2A"
1.581219,"2A"
1.732531,"2A"
3.863431,"2A"
2.472632,"2A"
1.124741,"2A"
2.0028,"2A"
2.09191,"2A"
.56301,"2A"
1.447451,"2A"
1.873771,"2A"
.6769822,"2A"
2.373845,"2A"
