ao,semestre,cod_lote,edad,id_mesesdecosecha,cent_x,cent_y
2001,1,50010106801,22.2,1,828570,1181050
2001,1,50010113601,14.1,1,841543,1180844
2001,1,50340102501,4,2,795074,1118285
2001,2,50340105101,6.5,2,794629,1118445
2001,2,50340202902,10.4,2,802326,1118935
2001,1,50340204102,3.8,2,802298,1117615
2001,1,50340209601,5.9,2,802148,1118510
2001,1,50340211601,11.2,2,802542,1118285
2001,2,50340212801,1.1,2,802625,1118171
2001,1,51010201702,10.2,1,792226,1143713
2001,2,56420201701,24.5,1,785257,1156754
2001,1,56420206704,9.2,1,787174,1159143
2001,2,158970105401,21.4,1,1.1e+06,1071405
2001,2,176140223601,8.9,2,821075,1093930
2001,2,176160121001,69.5,,815420,1051854
2001,1,176530117601,57,2,849075,1094176
2001,2,178730106001,3.1,2,836701,1041441
2001,1,195170512901,9.1,2,800725,777702
2001,2,195320136603,12.7,3,660538,740214
2001,2,252900100601,21.8,4,962195,969267
2001,1,253860111201,36.2,4,964245,1009527
2001,2,253860134301,36.9,4,961359,1010902
2001,1,258780201401,9.5,4,953972,975030
2001,1,258780204102,11.3,4,955225,976027
2001,1,418070406201,2.1,2,788847,699179
2001,2,526830121501,7,3,622924,640091
2001,2,526830138001,10.2,3,622737,639584
2001,1,660010006701,10.3,2,811524,1030123
2001,1,660010007104,5.2,2,811146,1029685
2001,2,660010011001,13.7,2,811900,1028060
2001,1,660010036607,3.2,2,813951,1029563
2001,2,660010049701,15.7,2,814380,1026855
2001,2,660010059503,4,2,815146,1026281
2001,1,660010098104,3.2,2,809185,1014945
2001,1,660010147101,3.1,2,815859,1013268
2001,1,660010148605,3.2,2,815330,1013649
2001,2,660010161101,17.8,2,815747,1014098
2001,2,660010168609,6.5,2,819969,1016494
2001,1,660010168611,7.2,2,820045,1016355
2001,2,660010177301,10.4,2,816576,1015914
2001,1,660010178001,6.3,2,817705,1014930
2001,1,660010184503,8.3,2,818744,1013632
2001,2,660010192304,11.7,2,823100,1018246
2001,2,660010215901,7.2,2,824726,1018188
2001,1,660010215903,2.8,2,824819,1018160
2001,1,660010216801,11.2,2,824627,1018544
2001,2,660010244506,6.3,2,810639,1015318
2001,2,661700005303,3.5,2,820487,1030996
2001,1,661700109502,7.3,2,821543,1031234
2001,2,664400002501,3.4,2,820763,1033223
2001,2,664400005901,7.4,2,820750,1032567
