"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1",11025010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.38,1390,1497.92888888889,1454.66,1485.08965517241,1492.58,1528.34847038019,1496.11731800766,1357.43103448276,1362.5,1534.22,1515.84344827586,1382.78428571429,1326.38428571429,1271.34413793103,1453.08197044335,1512.08,NA
"2",11035010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461.142962962963,3354.24896551724,3416.18955665025,3635.80769230769,3329.42,431.74,3413.40137931034,3167.4,2638.94,204.56,2649.89071428571,3225.34,3449.3,316.98,2949.2,3644.75,3844.9,NA
"3",11035020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.36,3428.86250136836,3176.73230769231,3025.12444444444,3060.38229064039,2829.72,3388.47010989011,3175.71530870279,2928.25664835165,3118.77552490421,3200.78428571429,3256.30285714286,2898.96,3049.59642857143,3007.08888888889,NA,NA,NA
"4",11045010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.48,3484.24,3577.14,3635.94,3636.56,3542.42,3652.24,3636.22,3536.44,3554.04,3636.24,3598.44,3526.36,3536.94,3513.14,3603.44,3693.76,NA
"5",11075010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.4,1114.18103743,1322.20653088291,1078.82,1106.05925925926,1362.7275862069,1529.92,1559.1,1401.9275862069,1246.03448275862,1502.27299692645,1214.31555555556,NA,NA,NA,NA,NA,NA
"6",11075020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.4,1569.47754789272,1579.81300492611,1614.86571428571,1676.46,1663.68,1712.34,1661.01310344828,1596.26,1526.84,1652.56285714286,1697.62,NA,192.26,1388.91714285714,NA,NA,NA
"7",11115020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.18,317.96,2482.54,2445.98,2489.29571428571,2467.7,2486.4,2495.73793103448,2314.59995073892,2306.91034482759,2792.36775041051,2185.29928571429,2164.80142857143,2038.11571428571,328.16,2407.70666666667,2413.14,NA
"8",11115040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.48,2043.5,2139.8,2174.24,2158.34,2126.8,2150.59,2058.14,2081.42899470899,1997.82689655172,2122.33111111111,2249.66,2166.3875862069,2268.68637931034,2307.93538461538,2379.24,2472.06,NA
"9",11135010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396.6,3393.48551724138,489.328,3740.59,3039.17269293925,249.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",12015010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474.836923076923,3423.32926108374,2855.58694033935,2942.10344827586,3160.14888888889,3415.10689655172,3380.04433497537,NA
"11",12015020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.36,3467.768,3552.3656043956,3360.00372413793,3588.86615384615,3338.58,3467.54,3507.76571428571,3526.82,3465.98666666667,3575.22,3370.58,3548.86,3529.42068965517,3560.22,3653.14,3732.86,NA
"12",12015060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456.68,3446.74,3521.32,3608.94,3603.06,3571.64,3626.24,3286.54,3495.92,3521.84,3690.24,3664.28,3311.14367816092,3354.36753968254,3557.4,NA,NA,NA
"13",12015070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466.98,3565.72,3606.2,3695.32,3696.66,3717.84,3786.64,3757.54,3689.24,3635.12,3758.64,3744.92,3709.86,3671.84,3772.94,3800.94,3876.86,NA
"14",12015090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379.76,311.06,2886.364,2360.46,2765.54,2757.76,2342.76,2655.604,2570.38,2482.6,NA,NA,NA,NA,NA,NA,NA,NA
"15",12025030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365.54,2804.8,3294.05418719212,3695.98215380405,NA,488.16,3739.01065934066,470.64,3565.84968253968,3369.92675862069,3564.28,3738.54,3620.07785714286,3572.57931034483,3751.14,3770.94,3866.47694581281,NA
"16",12025040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480.046666666667,3279.34879310345,489.216,3718.69214285714,3794.50433497537,3320.6,474.513846153846,3405.52,3103.84,NA,502.44,3647.82928571429,NA,NA,NA,NA,NA,NA
"17",12045010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.44,499.26,3476.18273083239,3426.87515873016,3655.38344827586,3276.87310344828,3069.88,413.8,NA,NA,481.16,3754.97333333333,3763.02,3782.77931034483,3825.92,3820.86,NA
"18",12045020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.941538461538,3664.74406130268,3686.02903940887,3615.38669950739,3564.82642857143,3636.25685823755,3509.30370973854,3357.50273504273,3436.32285714286,3688.23285714286,NA,304.94,3784.94,3790.54137931035,3755.78,3950.48827586207,2994,NA
"19",13015030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472.16,3523.12142857143,3573.81517241379,3547.45119047619,3628.37931034483,478.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",13055030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489.58,3653.24,3687.9,3732.78,3773.16,3721.42,3740.58,3709.03763546798,3741.89925925926,3659.37,3668.9,3663.04,3046.56,481.26,NA,NA,NA,NA
"21",13065020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514.66,3855.64142857143,3772.96,3773.06571428571,3862.104,3882,3837.54,3586.29,3592.22,3644.12,3610.56,485.04,3727.27714285714,3572.48,2999.75034482759,NA
"22",13075010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.78,3757.82,3715.42,3804.34,3704.4,3765.75071428571,3773.44,3737.55214285714,3642.46,3693.82,3758.72,3817.54,3718.74,3763.52,3802.5,3924.44,3407.76142857143,NA
"23",13075020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522.98,3776.88241871921,3682.53636453202,3830.70526440992,3873.19132625995,3582.24965517241,3849.72230011368,3292.98428571429,3711.42985221675,3692.27017515052,3708.4,3778.32,3722.86,3768.24,3851.04,3928.12,3462.48,NA
"24",13075030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512.48,3838.24,3877.82,3972.36,3901.01969348659,3888.2,3835.59777777778,3902.90995073892,506.08,3800.9,3909.74,3878.82,3851.96,3927.82,3960.42,4049.52,4098.56,NA
"25",13075050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490.98,3586.7,3750.72142857143,3825.72,3857.28176245211,505.76,3762.02,3685.93541324576,3720.42,3694.73846153846,NA,498.66,3719.74,NA,NA,NA,NA,NA
"26",13085010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",13085020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492.48,3696.09931034483,3755.48888888889,3891.1749071618,3826.06,3839.37862068966,3627.17295566502,3632.66642857143,3510.00975369458,3286.74,3644.49714285714,3242.63079365079,NA,NA,NA,NA,NA,NA
"28",13085030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493.48,3516.14,3788.12,3753.4,3723.36,3694.72,3615.37275862069,3668.72,3630.04,3533.42896551724,3665.37862068966,3687.56013793103,3570.42642857143,487.76,3697.54,3752.24,3238.08,NA
"29",13085040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518.18,491.54,3940.34,3915.22,3791.74,3840.74,3742.27885714286,3658.06,3775.34689655172,3747.12,3833.22,3851.24,3795.66,503.26,3876.34,3971.72,3482.48,NA
"30",13095020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.02,3532.57591954023,3687.32,3728.02,2787.75111111111,3651.43517241379,3497.16401477833,3379.30571428571,492.24,3275.6044137931,2955.27357142857,2717.95,2424.63172413793,3599.4,502.06,2852.67379310345,NA
"31",14015010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.3,3664.9,3751.38,3712.68,3497.40206896552,595.82,NA,548.212857142857,559.72,3784.18,3901.98,3810.87142857143,3636.56566502463,564.7,3338.85857142857,NA,NA,NA
"32",14015020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.62,3847.1,3897.28,3930.1,3881.6,3869.99379310345,3918.74827586207,3951.17586206897,3817.25777777778,3864.58,3963.56,3834.68,3854.88,3907.50827586207,3941.8,3962.4,NA,NA
"33",14015030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535.7,3327.24,3840.70928571429,3916.9,3880.6,581.22,578.82,3702.08,3342.91142857143,3680.185,3706.05428571429,3462.4,3434.38,567.88,NA,NA,NA,NA
"34",15015020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609.82,4065.88275862069,384.52,551.2,3679.65142857143,3692.02551724138,2175.88443349754,NA,NA,NA,NA,580.961379310345,3715.14,4004.30785714286,2613.88,NA,NA,NA
"35",15015050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
