"","cod_lote","ao","semestre","cosecha","sta_num","heat_index","distance","elev_diff"
"1","50010106801","2001","1","1","27015070",".","4303.58103650992","279"
"2","50010113601","2001","1","1","27015270",".","7260.68417901817","692"
"3","50340102501","2001","1","2","26195020",".","6049.35283195123","629"
"4","50340105101","2001","2","1","26195020","2412.68","4273.49025777595","296"
"5","50340202902","2001","2","1","26195020","2412.68","3426.75779241444","232"
"6","50340204102","2001","1","2","26195020",".","3836.25739760914","232"
"7","50340209601","2001","1","2","11025010",".","14583.6281442595","-375"
"8","50340211601","2001","1","2","26215010",".","8906.54674773351","-225"
"9","50340212801","2001","2","1","26185040","225.96","10773.4405217083","-1000"
"10","51010201702","2001","1","1","21055020",".","22959.5717279557","470"
"11","56420201701","2001","2","2","33","2273.7","7353.45946664496","543"
"12","56420206704","2001","1","1","21","2123.7","6366.34659270892","23"
"13","158970105401","2001","2","2","21","2028.4","5372.75934723061","-14"
"14","176140223601","2001","2","1","21035040",".","16402.0300785625","411"
"15",".",".",".",".",".",".",".","."
"16","176530117601","2001","1","2","13","2698.3","1629.74071932591","277"
"17","178730106001","2001","2","1","13","2601.4","4368.29318694238","182"
"18","195170512901","2001","1","2","5","2578.5","6770.2444795943","-76"
"19","195320136603","2001","2","2","25","2398.2","3716.21758800715","10"
"20","252900100601","2001","2","1","25","2398.2","3360.45357832531","-15"
"21","253860111201","2001","1","2","25","2513.6","4337.53767345198","236"
"22","253860134301","2001","2","1","25","2398.2","2832.56791253621","113"
"23","258780201401","2001","1","2","25","2513.6","4491.39182306263","180"
"24","258780204102","2001","1","2","25","2513.6","9141.9994040032","451"
"25","418070406201","2001","1","2","25","2513.6","9010.17955039196","451"
"26","526830121501","2001","2","2","26135110",".","6556.0036374625","1661"
"27","526830138001","2001","2","2","26135090","2052.82275862069","6804.62846738776","162"
"28","660010006701","2001","1","2","26135090",".","5257.85281386381","-19"
"29","660010007104","2001","1","2","26135090",".","1792.47936056054","256"
"30","660010011001","2001","2","1","13","2601.4","3637.93643620638","393"
"31","660010036607","2001","1","2","26135090",".","7728.50866503832","-21"
"32","660010049701","2001","2","1","20","2755.3","8370.88021820836","41"
"33","660010059503","2001","2","1","26135090","2052.82275862069","7757.85094397735","-21"
"34","660010098104","2001","1","2","26135090",".","4745.77270771547","67"
"35","660010147101","2001","1","2","35","2419.9","2516.83523229801","-18"
"36","660010148605","2001","1","2","35","2419.9","1606.18360542454","84"
"37","660010161101","2001","2","1","35","2339.9","1618.06358329824","78"
"38","660010168609","2001","2","1","26135090","2052.82275862069","4385.93805477611","127"
"39","660010168611","2001","1","2","12","2066.4","3468.13777873925","-88"
"40","660010177301","2001","2","1","12","1928.9","670.775345736427","-44"
"41","660010178001","2001","1","2","12","2066.4","3224.01114139673","25"
"42","660010184503","2001","1","2","26135110",".","2400.66277395751","1736"
"43","660010192304","2001","2","1","12","1928.9","1087.53438630276","-18"
"44","660010215901","2001","2","1","12","1928.9","2368.37024539451","-67"
