"","V1","V2","V3","V4"
"",NA,NA,NA,NA
"V5",1525.7,8.346,2327760.49,6
"V6",1554.9,1.043355,2417714.01,-18
"V7",1397.7275862069,9.43333333333333,1953642.40524376,83
"V4",1659.5,20.621625,2753940.25,7
"V6",1656.79310344828,1.058915,2744963.38763377,-30
"V7",2091.8,15.8769657407407,4375627.24,NA
"V9",2317.03571428571,37.7366792840376,5368654.50127551,NA
"V10",2179.8,33.9003270557029,4751528.04,NA
"V6",1901.7,20.29864375,3616462.89,NA
"V4",2186.44074986316,26.0215830687831,4780523.15266219,NA
"V5",2452.4,42.7645191176471,6014265.76,NA
"V2",2128.9,11.1359042857143,4532215.21,-59
"V3",2141,4.87226666666667,4583881,55
"V6",2102.05,13.5245,4418614.2025,-86
"V5",2576.5,4.835856,6638352.25,15.08
"V6",2559.14482758621,2.51911,6549222.24856124,40
"V2",2670.15418719212,0.04084,7129723.3833796,43
"V2",2414.6724137931,11.0845555555556,5830642.86593341,51
"V3",2403.2,4.89332555555556,5775370.24,35.6666666666667
"V7",2003.85357142857,6.96140909090909,4015429.13572704,41
"V8",1964.3,3.87780967741935,3858474.49,43.3225806451613
"V10",2038.2,2.021749,4154259.24,41.6
"V4",1779.31034482759,13.5846707142857,3165945.30321046,NA
"V6",2621.9,11.3318136590038,6874359.61,NA
"V7",2444.3,35.3219010383174,5974602.49,NA
"V8",2509.2,34.1948183038874,6296084.64,NA
"V10",2532.5,38.9786958425313,6413556.25,NA
"V7",1830.71206896552,12.4792285263987,3351506.679456,NA
"V9",2042.2,5.66157767055988,4170580.84,NA
"V10",1793,9.08095070175194,3214849,NA
"V6",2013,3.22029338842975,4052169,90.3719008264463
"V7",1993.99655172414,6.43803365384615,3976022.24828775,68.1538461538462
"V9",1815.2,2.56109333333333,3294951.04,31.443137254902
"V10",1770.3,10.474393715342,3133962.09,-42.7430683918669
"V3",2564.3,8.65433333333333,6575634.49,-17
"V4",2627.5,34.4482461538462,6903756.25,60.0769230769231
"V5",2615.9,0.514846,6842932.81,64
"V6",2522.67586206897,15.9633922369765,6363893.5050654,31.7252298263534
"V7",2476.6,7.42943425925926,6133547.56,63.962962962963
"V8",2404.7,5.4558843537415,5782582.09,42
"V2",1949.71527093596,4.39343734597156,3801389.63772089,18.0284360189573
"V3",1901,6.218923,3613801,70.6
"V5",1975.3,9.98835,3901810.09,-25
"V6",1965.8,17.2117586206897,3864369.64,-10
"V7",1834.03333333333,4.20917525773196,3363678.26777778,-10
"V3",2726.7,15.4415870967742,7434892.89,-12.9354838709677
"V8",1745,5.480334,3045025,NA
"V9",2089.7,4.47261111111111,4366846.09,NA
"V10",1751.8,19.183665,3068803.24,NA
"V9",1785.2,3.25005128205128,3186939.04,20
"V3",1620.5,8.7599,2626020.25,-87
"V5",2089.5,14.6475253546099,4366010.25,NA
"V8",2126,3.32048142857143,4519876,NA
"V10",1978.6,16.7361404639175,3914857.96,NA
"V2",2374.4,9.23309083333333,5637775.36,38.25
"V3",2376.5,0.161820588235294,5647752.25,22
"V6",2275,21.3456603773585,5175625,87
"V7",2205.6,13.3108714831804,4864671.36,-5.33639143730887
"V8",2271.9,0.947320470588235,5161529.61,89.3294117647059
"V9",2374.2,12.5008866564417,5636825.64,34.0950920245399
"V10",2157.7,1.88326943563729,4655669.29,54.4774889029804
"V5",2643.1,8.108105,6985977.61,NA
"V6",2446.7,43.1375,5986340.89,NA
"V7",2406.3,15.9210078124549,5790279.69,NA
"V8",2708.1,28.7788965596528,7333805.61,NA
"V9",2427.8,25.1223231578947,5894212.84,NA
"V10",2511.3,23.9344404238305,6306627.69,NA
"V2",2018.3,8.97766666666667,4073534.89,13
"V4",2082.1,3.010215,4335140.41,35
"V5",1934.9,6.085914375,3743838.01,56.6875
"V6",1941.4,2.08554151624549,3769033.96,50.0998796630566
"V7",1910.1,5.70045,3648482.01,67.5
"V8",2010.8,8.26857916666667,4043316.64,95
"V9",2080.1,2.33049019607843,4326816.01,95
"V10",1910.4,0.283627906976744,3649628.16,61
"V3",2533.7,4.098345,6419635.69,-60
"V4",2501.7,32.1302428571429,6258502.89,28.5238095238095
"V6",2429.7,29.6833333833458,5903442.09,43.4531132783196
"V7",2289.2,51.7006275530637,5240436.64,54.2390869042851
"V8",2448.1,25.6831971698113,5993193.61,-41.4448113207547
"V9",2525.5,10.1729374668786,6378150.25,-41.1701112877583
"V10",2386.4,13.2415312916112,5694904.96,-52.2436750998668
